Id,tights,dests,roads,timeLimits
129,0.1,1034,FLA,503059
130,0.2,1034,FLA,505569
131,0.3,1034,FLA,508079
132,0.4,1034,FLA,510589
133,0.5,1034,FLA,513099
134,0.6,1034,FLA,515608
135,0.7,1034,FLA,518118
136,0.8,1034,FLA,520628
137,0.1,53439,FLA,8845945
138,0.2,53439,FLA,9221304
139,0.3,53439,FLA,9596663
140,0.4,53439,FLA,9972022
141,0.5,53439,FLA,10347381
142,0.6,53439,FLA,10722740
143,0.7,53439,FLA,11098099
144,0.8,53439,FLA,11473458
145,0.1,535188,FLA,6926283
146,0.2,535188,FLA,7233256
147,0.3,535188,FLA,7540230
148,0.4,535188,FLA,7847203
149,0.5,535188,FLA,8154176
150,0.6,535188,FLA,8461149
151,0.7,535188,FLA,8768122
152,0.8,535188,FLA,9075096
153,0.1,1070376,FLA,6532242
154,0.2,1070376,FLA,6692760
155,0.3,1070376,FLA,6853279
156,0.4,1070376,FLA,7013798
157,0.5,1070376,FLA,7174317
158,0.6,1070376,FLA,7334835
159,0.7,1070376,FLA,7495354
160,0.8,1070376,FLA,7655873
161,0.1,20,NE,278417
162,0.2,20,NE,281540
163,0.3,20,NE,284664
164,0.4,20,NE,287788
165,0.5,20,NE,290912
166,0.6,20,NE,294035
167,0.7,20,NE,297159
168,0.8,20,NE,300283
169,0.1,1234,NE,133243
170,0.2,1234,NE,133760
171,0.3,1234,NE,134278
172,0.4,1234,NE,134795
173,0.5,1234,NE,135313
174,0.6,1234,NE,135830
175,0.7,1234,NE,136348
176,0.8,1234,NE,136865
177,0.1,74219,NE,322819
178,0.2,74219,NE,329699
179,0.3,74219,NE,336579
180,0.4,74219,NE,343459
181,0.5,74219,NE,350339
182,0.6,74219,NE,357219
183,0.7,74219,NE,364099
184,0.8,74219,NE,370979
185,0.1,762227,NE,3101691
186,0.2,762227,NE,3168606
187,0.3,762227,NE,3235520
188,0.4,762227,NE,3302435
189,0.5,762227,NE,3369349
190,0.6,762227,NE,3436263
191,0.7,762227,NE,3503178
192,0.8,762227,NE,3570092
193,0.1,1524453,NE,2844005
194,0.2,1524453,NE,3017273
195,0.3,1524453,NE,3190540
196,0.4,1524453,NE,3363808
197,0.5,1524453,NE,3537075
198,0.6,1524453,NE,3710342
199,0.7,1524453,NE,3883610
200,0.8,1524453,NE,4056877
201,0.1,20,CAL,791104
202,0.2,20,CAL,791104
203,0.3,20,CAL,791104
204,0.4,20,CAL,791104
205,0.5,20,CAL,791104
206,0.6,20,CAL,791104
207,0.7,20,CAL,791104
208,0.8,20,CAL,791104
209,0.1,1375,CAL,2715968
210,0.2,1375,CAL,2717218
211,0.3,1375,CAL,2718469
212,0.4,1375,CAL,2719720
213,0.5,1375,CAL,2720971
214,0.6,1375,CAL,2722221
215,0.7,1375,CAL,2723472
216,0.8,1375,CAL,2724723
217,0.1,90684,CAL,17293644
218,0.2,90684,CAL,18110326
219,0.3,90684,CAL,18927009
220,0.4,90684,CAL,19743691
221,0.5,90684,CAL,20560373
222,0.6,90684,CAL,21377055
223,0.7,90684,CAL,22193737
224,0.8,90684,CAL,23010420
225,0.1,945407,CAL,13581036
226,0.2,945407,CAL,14142828
227,0.3,945407,CAL,14704621
228,0.4,945407,CAL,15266413
229,0.5,945407,CAL,15828206
230,0.6,945407,CAL,16389998
231,0.7,945407,CAL,16951791
232,0.8,945407,CAL,17513583
233,0.1,1890815,CAL,6665244
234,0.2,1890815,CAL,6759714
235,0.3,1890815,CAL,6854185
236,0.4,1890815,CAL,6948656
237,0.5,1890815,CAL,7043127
238,0.6,1890815,CAL,7137597
239,0.7,1890815,CAL,7232068
240,0.8,1890815,CAL,7326539
241,0.1,21,LKS,193413
242,0.2,21,LKS,193413
243,0.3,21,LKS,193413
244,0.4,21,LKS,193413
245,0.5,21,LKS,193413
246,0.6,21,LKS,193413
247,0.7,21,LKS,193413
248,0.8,21,LKS,193413
249,0.1,1660,LKS,4041019
250,0.2,1660,LKS,4169923
251,0.3,1660,LKS,4298828
252,0.4,1660,LKS,4427732
253,0.5,1660,LKS,4556637
254,0.6,1660,LKS,4685541
255,0.7,1660,LKS,4814446
256,0.8,1660,LKS,4943350
257,0.1,128912,LKS,5700868
258,0.2,128912,LKS,5961234
259,0.3,128912,LKS,6221599
260,0.4,128912,LKS,6481964
261,0.5,128912,LKS,6742330
262,0.6,128912,LKS,7002695
263,0.7,128912,LKS,7263060
264,0.8,128912,LKS,7523425
265,0.1,1379059,LKS,11625702
266,0.2,1379059,LKS,12165811
267,0.3,1379059,LKS,12705920
268,0.4,1379059,LKS,13246029
269,0.5,1379059,LKS,13786138
270,0.6,1379059,LKS,14326246
271,0.7,1379059,LKS,14866355
272,0.8,1379059,LKS,15406464
273,0.1,2758119,LKS,3096934
274,0.2,2758119,LKS,3142437
275,0.3,2758119,LKS,3187941
276,0.4,2758119,LKS,3233445
277,0.5,2758119,LKS,3278949
278,0.6,2758119,LKS,3324452
279,0.7,2758119,LKS,3369956
280,0.8,2758119,LKS,3415460
281,0.1,21,E,310019
282,0.2,21,E,316636
283,0.3,21,E,323254
284,0.4,21,E,329872
285,0.5,21,E,336490
286,0.6,21,E,343107
287,0.7,21,E,349725
288,0.8,21,E,356343
289,0.1,1897,E,165851
290,0.2,1897,E,170410
291,0.3,1897,E,174970
292,0.4,1897,E,179529
293,0.5,1897,E,184088
294,0.6,1897,E,188647
295,0.7,1897,E,193206
296,0.8,1897,E,197766
297,0.1,165233,E,2205019
298,0.2,165233,E,2232163
299,0.3,165233,E,2259306
300,0.4,165233,E,2286449
301,0.5,165233,E,2313593
302,0.6,165233,E,2340736
303,0.7,165233,E,2367879
304,0.8,165233,E,2395022
305,0.1,1799311,E,2998605
306,0.2,1799311,E,3121324
307,0.3,1799311,E,3244044
308,0.4,1799311,E,3366763
309,0.5,1799311,E,3489482
310,0.6,1799311,E,3612201
311,0.7,1799311,E,3734920
312,0.8,1799311,E,3857640
313,0.1,3598623,E,6082122
314,0.2,3598623,E,6356449
315,0.3,3598623,E,6630776
316,0.4,3598623,E,6905103
317,0.5,3598623,E,7179430
318,0.6,3598623,E,7453756
319,0.7,3598623,E,7728083
320,0.8,3598623,E,8002410
321,0.1,22,W,3002806
322,0.2,22,W,3039101
323,0.3,22,W,3075396
324,0.4,22,W,3111691
325,0.5,22,W,3147986
326,0.6,22,W,3184281
327,0.7,22,W,3220576
328,0.8,22,W,3256871
329,0.1,2502,W,3409985
330,0.2,2502,W,3510279
331,0.3,2502,W,3610572
332,0.4,2502,W,3710866
333,0.5,2502,W,3811159
334,0.6,2502,W,3911452
335,0.7,2502,W,4011746
336,0.8,2502,W,4112039
337,0.1,277351,W,16816695
338,0.2,277351,W,17638075
339,0.3,277351,W,18459456
340,0.4,277351,W,19280836
341,0.5,277351,W,20102217
342,0.6,277351,W,20923597
343,0.7,277351,W,21744978
344,0.8,277351,W,22566358
345,0.1,3131052,W,13521549
346,0.2,3131052,W,14171692
347,0.3,3131052,W,14821835
348,0.4,3131052,W,15471978
349,0.5,3131052,W,16122122
350,0.6,3131052,W,16772265
351,0.7,3131052,W,17422408
352,0.8,3131052,W,18072551
353,0.1,6262104,W,17302069
354,0.2,6262104,W,18296231
355,0.3,6262104,W,19290394
356,0.4,6262104,W,20284557
357,0.5,6262104,W,21278720
358,0.6,6262104,W,22272882
359,0.7,6262104,W,23267045
360,0.8,6262104,W,24261208
